,Country,Total,Distribution,Vacation,Reasons,,Conference,Friends
0,Australia,664,16.8,165,52,-,31,416
1,New Zealand,"1,565",48.2,388,89,7,104,977
2,Fiji,134,5.9,10,32,1,38,53
3,American Samoa,14,0.2,1,-,-,1,12
4,Western Samoa,16,0.7,1,1,-,2,12
5,Other Pacific Islands,29,1.7,4,7,1,6,11
6,Japan,90,2.1,38,12,-,17,23
7,China,89,1.7,24,20,1,32,12
8,India,4,0.3,2,-,-,2,-
9,Korea,2,1.2,-,-,-,-,2
10,Other Asian Countries,26,1.4,6,6,-,8,6
11,UK,61,1.8,47,3,-,3,8
12,Germany,74,2.4,54,1,-,3,16
13,France,16,0.3,9,1,-,-,6
14,Italy,12,0.1,8,-,-,-,4
15,Other European Countries,90,3.0,77,1,-,1,11
16,All African Countries,1,0.2,-,-,-,1,-
17,United States of America,394,11.0,90,41,2,11,250
18,Canada,22,0.7,16,-,-,1,5
19,Other American Countries,12,0.4,7,-,-,2,3
