,Country,Total,Distribution,Vacation,,Stated,Conference,Friends
0,Australia,928,21.2,345,71.0,17,12,483
1,New Zealand,"2,225",50.9,826,82.0,27,15,1275
2,Fiji,135,3.1,30,43.0,0,25,38
3,American Samoa,10,0.2,1,0.0,1,0,8
4,Western Samoa,17,0.4,4,4.0,0,4,6
5,Other Pacific Islands,79,1.8,19,37.0,0,12,11
6,Japan,43,1.0,28,4.0,0,4,7
7,China,97,2.2,65,2.0,0,11,19
8,India,14,0.3,5,7.0,0,1,0
9,Korea,9,0.2,6,1.0,0,0,1
10,Other Asian Countries,26,0.6,21,0.0,1,1,2
11,UK,59,1.4,46,2.0,1,5,5
12,Germany,63,1.4,58,1.0,0,0,4
13,France,6,0.1,4,0.0,1,0,1
14,Italy,9,0.2,6,1.0,0,1,0
15,Other European Countries,106,2.4,84,2.0,2,5,12
16,All African Countries,1,0.0,1,0.0,0,0,0
17,United States of America,522,11.9,221,32.0,10,8,251
18,Canada,18,0.4,12,4.0,0,0,2
19,Other American Countries,4,0.1,1,1.0,0,1,0
